Código,Termo
3E-40-06-10-00-00-00,Bomba de recalque para aproveitamento de águas pluviais
3E-40-06-12-00-00-00,Poço de infiltração para aproveitamento de águas pluviais
3E-40-06-14-00-00-00,Extravasor para aproveitamento de águas pluviais
3E-40-08-00-00-00-00,Elementos para esgotamento de águas pluviais
3E-42-00-00-00-00-00,Elementos de instalações sanitárias
3E-42-02-00-00-00-00,Elementos controladores de fluxo em instalações sanitárias
3E-42-02-02-00-00-00,Válvula de retenção de instalação sanitária
3E-42-02-02-02-00-00,Tipo leve
3E-42-02-02-04-00-00,Tipo pesado
3E-42-02-04-00-00-00,Registro de instalação sanitária
3E-42-02-04-02-00-00,Registro globo aberto
3E-42-02-04-04-00-00,Registro gaveta aberto
3E-42-02-04-06-00-00,Registro ângulo aberto
3E-42-04-00-00-00-00,Elementos coletores em instalações sanitárias
3E-42-04-02-00-00-00,Coletor de instalação sanitária
3E-42-04-04-00-00-00,Sub-coletor de instalação sanitária
3E-42-06-00-00-00-00,Elementos distribuidores em instalações sanitárias
3E-42-06-02-00-00-00,Distribuição primária de instalação sanitária
3E-42-06-04-00-00-00,Distribuição secundária de instalação sanitária
3E-42-06-06-00-00-00,Ramal de esgoto de instalação sanitária
3E-42-06-08-00-00-00,Ramal de descarga de instalação sanitária
3E-42-06-10-00-00-00,Prumada de queda de instalação sanitária
3E-42-06-12-00-00-00,Coluna de queda de instalação sanitária
3E-42-08-00-00-00-00,Elementos conectores em instalações sanitárias
3E-42-10-00-00-00-00,Elementos para ventilação em instalações sanitárias
3E-42-10-02-00-00-00,Ramal de ventilação de instalação sanitária
3E-42-10-04-00-00-00,Coluna de ventilação de instalação sanitária
3E-42-10-06-00-00-00,Ventilador primário de instalação sanitária
3E-42-10-08-00-00-00,Ventilador secundário de instalação sanitária
3E-42-12-00-00-00-00,Elementos de inspeção de instalações sanitárias
3E-42-14-00-00-00-00,Elementos de reúso de águas cinzas
3E-42-14-02-00-00-00,Coleta de reúso de águas cinzas
3E-42-14-04-00-00-00,Estação de tratamento de reúso de águas cinzas
3E-42-14-06-00-00-00,Reservatório de reúso de águas cinzas
3E-42-14-08-00-00-00,Terminal de reúso de águas cinzas
3E-42-16-00-00-00-00,Elementos para esgotamento sanitário local
3E-42-16-02-00-00-00,Fossa séptica
3E-42-16-02-02-00-00,Sumidouro
3E-42-16-02-04-00-00,Caixa de distribuição
3E-42-16-02-06-00-00,Vala de infiltração
3E-42-16-02-08-00-00,Galeria filtrante
3E-42-16-02-00-00-00,Fossa seca
3E-42-16-02-00-00-00,Fossa negra
3E-42-18-00-00-00-00,Elementos para esgotamento sanitário via rede coletora
3E-42-18-02-00-00-00,Bacia de drenagem para a rede coletora de esgoto
3E-42-18-04-00-00-00,Caixa de passagem para a rede coletora de esgoto
3E-42-18-06-00-00-00,Ligação predial para a rede coletora de esgoto
3E-44-00-00-00-00-00,Elementos da rede de esgotamento sanitário
3E-44-02-00-00-00-00,Elementos coletores de esgoto
3E-44-02-02-00-00-00,Tubulação da rede coletora de esgoto
3E-44-02-04-00-00-00,Estação elevatória de rede coletora de esgoto
3E-44-02-04-02-00-00,Bomba de rede coletora de esgoto
3E-44-02-04-04-00-00,Poço de sucção de rede coletora de esgoto
3E-44-02-04-06-00-00,Canalização de sucção de rede coletora de esgoto
